AstroVIEW X
Type, Original
 
Time, 06/15/2018 01:43:39 PM
Compression, 1
*Sample Rate 1, 1
Size, 6280
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I1_rms_20ms        , I1_lp_3000Hz       
88, 06/15/2018 01:45:05 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
89, 06/15/2018 01:45:06 PM,0.0000             ,-0.0500            ,0.0000             ,-1.6667            
90, 06/15/2018 01:45:07 PM,0.0000             ,-0.0500            ,0.0000             ,-0.8333            
91, 06/15/2018 01:45:08 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
92, 06/15/2018 01:45:09 PM,0.0000             ,-0.0500            ,0.0000             ,-1.6667            
93, 06/15/2018 01:45:10 PM,0.0000             ,0.0000             ,0.0000             ,-0.4167            
94, 06/15/2018 01:45:11 PM,0.0000             ,0.0000             ,0.0000             ,-2.5000            
95, 06/15/2018 01:45:12 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
96, 06/15/2018 01:45:13 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
97, 06/15/2018 01:45:14 PM,0.0000             ,0.0333             ,0.0000             ,-1.2500            
98, 06/15/2018 01:45:15 PM,0.0000             ,-0.0500            ,0.0000             ,-2.0833            
99, 06/15/2018 01:45:16 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
100, 06/15/2018 01:45:17 PM,0.0000             ,0.0167             ,0.0000             ,-0.8333            
101, 06/15/2018 01:45:18 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
102, 06/15/2018 01:45:19 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
103, 06/15/2018 01:45:20 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
104, 06/15/2018 01:45:21 PM,0.0000             ,-0.0500            ,0.0000             ,-0.4167            
105, 06/15/2018 01:45:22 PM,0.0000             ,-0.0167            ,0.0000             ,-0.8333            
106, 06/15/2018 01:45:23 PM,0.0000             ,-0.0667            ,0.0000             ,-1.2500            
107, 06/15/2018 01:45:24 PM,0.0000             ,0.0167             ,0.0000             ,-2.9167            
108, 06/15/2018 01:45:25 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
109, 06/15/2018 01:45:26 PM,0.0000             ,-0.0167            ,0.0000             ,-0.8333            
110, 06/15/2018 01:45:27 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
111, 06/15/2018 01:45:28 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
112, 06/15/2018 01:45:29 PM,0.0000             ,0.0000             ,0.0000             ,-2.5000            
113, 06/15/2018 01:45:30 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
114, 06/15/2018 01:45:31 PM,0.0000             ,-0.0833            ,0.0000             ,-1.6667            
115, 06/15/2018 01:45:32 PM,0.0000             ,-0.0333            ,0.0000             ,-2.0833            
116, 06/15/2018 01:45:33 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
117, 06/15/2018 01:45:34 PM,0.0000             ,-0.0333            ,0.0000             ,-1.2500            
118, 06/15/2018 01:45:35 PM,0.0000             ,-0.0667            ,0.0000             ,-1.2500            
119, 06/15/2018 01:45:36 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
120, 06/15/2018 01:45:37 PM,0.0000             ,0.0000             ,0.0000             ,-2.0833            
121, 06/15/2018 01:45:38 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
122, 06/15/2018 01:45:39 PM,0.0000             ,0.0167             ,0.0000             ,-2.0833            
123, 06/15/2018 01:45:40 PM,0.0000             ,-0.0167            ,0.0000             ,-0.8333            
124, 06/15/2018 01:45:41 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
125, 06/15/2018 01:45:42 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
126, 06/15/2018 01:45:43 PM,0.0000             ,-0.0667            ,0.0000             ,-2.5000            
127, 06/15/2018 01:45:44 PM,0.0000             ,-0.0500            ,0.0000             ,-2.5000            
128, 06/15/2018 01:45:45 PM,0.0000             ,-0.0333            ,0.0000             ,-1.2500            
129, 06/15/2018 01:45:46 PM,0.0000             ,0.0500             ,0.0000             ,-1.6667            
130, 06/15/2018 01:45:47 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
131, 06/15/2018 01:45:48 PM,0.0000             ,-0.0333            ,0.0000             ,-2.0833            
132, 06/15/2018 01:45:49 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
133, 06/15/2018 01:45:50 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
134, 06/15/2018 01:45:51 PM,0.0000             ,-0.0333            ,0.0000             ,-2.9167            
135, 06/15/2018 01:45:52 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
136, 06/15/2018 01:45:53 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
137, 06/15/2018 01:45:54 PM,0.0000             ,-0.0333            ,0.0000             ,-1.2500            
138, 06/15/2018 01:45:55 PM,0.0000             ,0.0000             ,0.0000             ,-0.8333            
139, 06/15/2018 01:45:56 PM,0.0000             ,0.0167             ,0.0000             ,-1.6667            
140, 06/15/2018 01:45:57 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
141, 06/15/2018 01:45:58 PM,0.0000             ,-0.0500            ,0.0000             ,-1.6667            
142, 06/15/2018 01:45:59 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
143, 06/15/2018 01:46:00 PM,0.0000             ,-0.0833            ,0.0000             ,-2.0833            
144, 06/15/2018 01:46:01 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
145, 06/15/2018 01:46:02 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
146, 06/15/2018 01:46:03 PM,0.0000             ,-0.0333            ,0.0000             ,-2.5000            
147, 06/15/2018 01:46:04 PM,0.0000             ,-0.0500            ,0.0000             ,-2.9167            
148, 06/15/2018 01:46:05 PM,0.0000             ,0.0000             ,0.0000             ,-0.8333            
149, 06/15/2018 01:46:06 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
150, 06/15/2018 01:46:07 PM,0.0000             ,-0.0500            ,0.0000             ,-2.5000            
151, 06/15/2018 01:46:08 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
152, 06/15/2018 01:46:09 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
153, 06/15/2018 01:46:10 PM,0.0000             ,-0.1000            ,0.0000             ,-1.6667            
154, 06/15/2018 01:46:11 PM,0.0000             ,-0.0333            ,0.0000             ,-2.0833            
155, 06/15/2018 01:46:12 PM,0.0000             ,0.0333             ,0.0000             ,-1.2500            
156, 06/15/2018 01:46:13 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
157, 06/15/2018 01:46:14 PM,0.0000             ,-0.0833            ,0.0000             ,-3.3333            
158, 06/15/2018 01:46:15 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
159, 06/15/2018 01:46:16 PM,0.0000             ,-0.0500            ,0.0000             ,-2.0833            
160, 06/15/2018 01:46:17 PM,0.0000             ,-0.0500            ,0.0000             ,-2.0833            
161, 06/15/2018 01:46:18 PM,0.0000             ,-0.0333            ,0.0000             ,-2.5000            
162, 06/15/2018 01:46:19 PM,0.0000             ,-0.0833            ,0.0000             ,-2.0833            
163, 06/15/2018 01:46:20 PM,0.0000             ,-0.0667            ,0.0000             ,-2.0833            
164, 06/15/2018 01:46:21 PM,0.0000             ,0.0000             ,0.0000             ,-2.9167            
165, 06/15/2018 01:46:22 PM,0.0000             ,-0.0500            ,0.0000             ,-2.5000            
166, 06/15/2018 01:46:23 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
167, 06/15/2018 01:46:24 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
168, 06/15/2018 01:46:25 PM,0.0000             ,-0.0500            ,0.0000             ,-2.0833            
169, 06/15/2018 01:46:26 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
170, 06/15/2018 01:46:27 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
171, 06/15/2018 01:46:28 PM,0.0000             ,0.0000             ,0.0000             ,-2.5000            
172, 06/15/2018 01:46:29 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
173, 06/15/2018 01:46:30 PM,0.0000             ,-0.0333            ,0.0000             ,-2.0833            
174, 06/15/2018 01:46:31 PM,0.0000             ,0.0500             ,0.0000             ,-1.6667            
175, 06/15/2018 01:46:32 PM,0.0000             ,-0.0500            ,0.0000             ,-0.8333            
176, 06/15/2018 01:46:33 PM,0.0000             ,-0.0167            ,0.0000             ,-2.9167            
177, 06/15/2018 01:46:34 PM,0.0000             ,-0.0333            ,0.0000             ,-1.2500            
178, 06/15/2018 01:46:35 PM,0.0000             ,-0.0333            ,0.0000             ,-1.2500            
179, 06/15/2018 01:46:36 PM,0.0000             ,0.0333             ,0.0000             ,-0.8333            
180, 06/15/2018 01:46:37 PM,0.0000             ,0.0167             ,0.0000             ,-1.6667            
181, 06/15/2018 01:46:38 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
182, 06/15/2018 01:46:39 PM,0.0000             ,-0.0500            ,0.0000             ,-0.8333            
183, 06/15/2018 01:46:40 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
184, 06/15/2018 01:46:41 PM,0.0000             ,0.0000             ,0.0000             ,-2.9167            
185, 06/15/2018 01:46:42 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
186, 06/15/2018 01:46:43 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
187, 06/15/2018 01:46:44 PM,0.0000             ,-0.0667            ,0.0000             ,-1.2500            
188, 06/15/2018 01:46:45 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
189, 06/15/2018 01:46:46 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
190, 06/15/2018 01:46:47 PM,0.0000             ,-0.0833            ,0.0000             ,-2.0833            
191, 06/15/2018 01:46:48 PM,0.0000             ,-0.0667            ,0.0000             ,-0.4167            
192, 06/15/2018 01:46:49 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
193, 06/15/2018 01:46:50 PM,0.0000             ,0.0000             ,0.0000             ,-0.4167            
194, 06/15/2018 01:46:51 PM,0.0000             ,0.0000             ,0.0000             ,-1.2500            
195, 06/15/2018 01:46:52 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
196, 06/15/2018 01:46:53 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
197, 06/15/2018 01:46:54 PM,0.0000             ,-0.0167            ,0.0000             ,-0.8333            
198, 06/15/2018 01:46:55 PM,0.0000             ,-0.0500            ,0.0000             ,-1.6667            
199, 06/15/2018 01:46:56 PM,0.0000             ,-0.0500            ,0.0000             ,-2.5000            
200, 06/15/2018 01:46:57 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
201, 06/15/2018 01:46:58 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
202, 06/15/2018 01:46:59 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
203, 06/15/2018 01:47:00 PM,0.0000             ,-0.0333            ,0.0000             ,-2.0833            
204, 06/15/2018 01:47:01 PM,0.0000             ,-0.0333            ,0.0000             ,-2.5000            
205, 06/15/2018 01:47:02 PM,0.0000             ,-0.0500            ,0.0000             ,-0.4167            
206, 06/15/2018 01:47:03 PM,0.0000             ,-0.0167            ,0.0000             ,-0.8333            
207, 06/15/2018 01:47:04 PM,0.0000             ,-0.0500            ,0.0000             ,0.0000             
208, 06/15/2018 01:47:05 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
209, 06/15/2018 01:47:06 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
210, 06/15/2018 01:47:07 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
211, 06/15/2018 01:47:08 PM,0.0000             ,-0.0667            ,0.0000             ,-2.0833            
212, 06/15/2018 01:47:09 PM,0.0000             ,-0.0500            ,0.0000             ,-1.6667            
213, 06/15/2018 01:47:10 PM,0.0000             ,0.0000             ,0.0000             ,-2.5000            
214, 06/15/2018 01:47:11 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
215, 06/15/2018 01:47:12 PM,0.0000             ,-0.0167            ,0.0000             ,-2.9167            
216, 06/15/2018 01:47:13 PM,0.0000             ,-0.0333            ,0.0000             ,-1.2500            
217, 06/15/2018 01:47:14 PM,0.0000             ,-0.0500            ,0.0000             ,-1.6667            
218, 06/15/2018 01:47:15 PM,0.0000             ,0.0000             ,0.0000             ,-1.2500            
219, 06/15/2018 01:47:16 PM,0.0000             ,0.0167             ,0.0000             ,-1.6667            
220, 06/15/2018 01:47:17 PM,0.0000             ,0.0000             ,0.0000             ,-2.0833            
221, 06/15/2018 01:47:18 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
222, 06/15/2018 01:47:19 PM,0.0000             ,0.0167             ,0.0000             ,-0.8333            
223, 06/15/2018 01:47:20 PM,0.0000             ,0.0167             ,0.0000             ,-1.6667            
224, 06/15/2018 01:47:21 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
